CRM;FANTASIA;CNPJ;TELEFONE;CIDADE;ENDERECO;BAIRRO;CEP;CODIGO_IBGE;ESTADO;ATIVO;STATUS;DIAS_LIBERADOS;MODULOS
39156;Vita Farma - Melhor Compra ;11.003.025/0002-46;3237461776 / 32;Divino;Rua Jose Vitor de Oliveira 141;Givisiez;36820-000;3122009;MG;Sim;CLIENTE;30.0;MERCHFARMA: 6,HOS P344: 6,HOS FISCAL: 6,HOS REPLICADOR: 6,HOSTRIBUTARIO: 6,INTEGRAÇÃO SMARTPED: 7
39157;Minas Farma ;26.558.578/0001-51;38999939531 / 38;Grão Mogol;Av Domingos de Arruda 181;Bom Gosto;39570-000;3127800;MG;Sim;CLIENTE;3.0;MERCHFARMA: 5,HOS P344: 5,HOSCLOUD BACKUP: 5,HOSCHAT: 5,HOSGESTAO: 5,INTEGRAÇÃO MAGGU: 5
39159;Rede Inova Mestre Alvaro - PAULO ;11.022.341/0003-46;27995169815 / 27;Serra;Av João Palácio 300;Eurico Salles;29160-161;3205002;ES;Sim;CLIENTE;30.0;HOSTRIBUTARIO: 4,INTEGRAÇÃO IFOOD: 4,MERCHFARMA: 4,HOS P344: 4,HOS FISCAL: 1,HOS REPLICADOR: 4,INTEGRAÇÃO SMARTPED: 4,INTEGRAÇÃO MAGGU: 4
39160;Drogaria São João ;42.849.943/0001-33;3537313355 / 35;Andradas;Rua Major Bonifacio, 924;Centro;37838-008;3102605;MG;Sim;CLIENTE;30.0;MERCHFARMA: 4,HOS P344: 4,HOSTRIBUTARIO: 4,HOS DIGITALIZE: 4,HOSPEDIDOS: 4,HOSCHAT: 4,HOSGESTAO: 4
39167;New Pharma - ANDRE;46.995.223/0001-37;27995117838 / 27;Serra;Av.Terceiro Mundo, 4 Quadra 13 Setor Asia;Continental;29163-603;3205002;ES;Sim;CLIENTE;30.0;MERCHFARMA: 4,HOS P344: 4,HOSTRIBUTARIO: 4,HOSCLOUD BACKUP: 4
39168;Farmacia Mega Baratinho - BASE4;49.760.353/0001-89;69999094400 / 69;Nova Brasilândia d`Oeste;Rua Juscelino Kubitschek, 3048;Centro;76958-000;1100148;RO;Sim;CLIENTE;30.0;MERCHFARMA: 6,HOS P344: 1,ESTAÇÃO ADICIONAL: 1,HOSTRIBUTARIO: 6,HOSCHAT: 6
39169;Farmashop Interlagos - BASE4;58.076.835/0001-05;1154965782 / 11;São Paulo;Av Interlagos 4455;Jardim Umuarama;04661-300;3550308;SP;Sim;CLIENTE;30.0;INTEGRAÇÃO IFOOD: 5,HOSCHAT: 5,COVISA: 5,MERCHFARMA: 5,HOS P344: 5,HOSTRIBUTARIO: 5
39171;Farmacia do Povo - ANDRE;58.012.727/0001-79;73999945151 / 73;Teixeira de Freitas;Rua Joao Amaro Gomes 192;Vila Vargas;45993-033;2931350;BA;Sim;CLIENTE;30.0;MERCHFARMA: 6,HOS P344: 6,HOS REPLICADOR: 5
39174;Drogaria Saude e Vida Drugstore - PAULO-SOMA;02.165.564/0002-90;38999395261 / 38;Diamantina;Av Joao Antunes de Oliveira 1001;Cazuza;39100-000;3121605;MG;Sim;CLIENTE;30.0;MERCHFARMA: 20,HOS P344: 20,HOS FINANÇAS: 20,HOS FISCAL: 20,HOS REPLICADOR: 20,HOSTRIBUTARIO: 20,HOS DIGITALIZE: 20,HOSCLOUD BACKUP: 20,PORTAL DE COTAÇÕES: 20,INTEGRAÇÃO SMARTPED: 20,INTEGRAÇÃO MAGGU: 20
39175;Farma Lima Loja 01 - PAULO;08.861.917/0001-92;92992675290 / 92;Manaus;Rua Santa Maria da Paz 741;Cidade de Deus;69099-644;1302603;AM;Sim;CLIENTE;30.0;MERCHFARMA: 8,HOS P344: 8,HOS FISCAL: 8,HOS REPLICADOR: 8,HOSTRIBUTARIO: 8,HOSCHAT: 4,HOSGESTÃO PLUS: 8,UNICO CONTATO: 8,INTEGRAÇÃO MAGGU: 8
